" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
INDIA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,2-Jan,"2,89,810",75,"1,62,850","85,500","27,660","8,145","2,585","2,995",0
,5-Mar,"13,41,385",260,"5,79,855","4,30,235","2,05,255","75,270","28,635","21,875",0
,8-Jun,"11,62,950",235,"3,65,250","3,72,470","2,33,835","1,05,085","46,265","39,810",0
 ,      9+      ,"5,32,555",55,"1,13,005","1,30,160","1,26,215","77,135","40,025","45,960",0
Owned ,,,,,,,,,,
,Total,"29,55,320",495,"11,07,440","8,84,440","5,14,375","2,36,250","1,11,565","1,00,755",0
,2-Jan,"2,22,660",55,"1,32,000","63,660","18,540","4,955","1,705","1,745",0
,5-Mar,"11,59,735",210,"5,24,480","3,62,380","1,67,585","61,440","25,990","17,650",0
,8-Jun,"10,61,735",180,"3,42,265","3,35,305","2,07,510","95,090","44,555","36,830",0
 ,      9+      ,"5,11,190",50,"1,08,695","1,23,095","1,20,740","74,765","39,315","44,530",0
Rented ,,,,,,,,,,
,Total,"2,37,495",95,"64,030","89,960","53,415","20,515","4,060","5,420",0
,2-Jan,"44,360",20,"19,870","15,175","6,050","2,050",555,640,0
,5-Mar,"1,15,685",35,"30,180","45,605","25,965","9,660","1,895","2,345",0
,8-Jun,"64,365",40,"11,825","24,670","17,860","7,180","1,145","1,645",0
 ,      9+      ,"13,085",0,"2,155","4,510","3,540","1,625",465,790,0
Others ,,,,,,,,,,
,Total,"1,33,885",35,"49,490","43,965","25,175","8,870","1,885","4,465",0
,2-Jan,"22,790",0,"10,980","6,665","3,070","1,140",325,610,0
,5-Mar,"65,965",15,"25,195","22,250","11,705","4,170",750,"1,880",0
,8-Jun,"36,850",15,"11,160","12,495","8,465","2,815",565,"1,335",0
 ANDHRA PRADESH                                              ,      9+      ,"8,280",5,"2,155","2,555","1,935",745,245,640,0
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"4,71,660",80,"1,49,400","1,43,140","82,495","45,605","24,065","26,875",0
,2-Jan,"80,205",15,"46,175","21,685","7,435","2,745","1,035","1,115",0
,5-Mar,"2,08,050",10,"66,490","68,335","37,650","18,590","8,975","8,000",0
,8-Jun,"1,30,190",50,"29,570","41,885","26,590","15,295","8,250","8,550",0
 ,      9+      ,"53,215",5,"7,165","11,235","10,820","8,975","5,805","9,210",0
Owned ,,,,,,,,,,
,Total,"2,51,640",35,"55,465","72,640","50,425","31,965","19,055","22,055",0
,2-Jan,"22,065",10,"10,055","7,090","2,765","1,110",500,535,0
,5-Mar,"99,535",0,"24,785","31,850","19,670","11,305","6,215","5,710",0
,8-Jun,"86,165",25,"15,575","25,420","19,065","11,740","7,045","7,295",0
 ,      9+      ,"43,875",0,"5,050","8,280","8,925","7,810","5,295","8,515",0
Rented ,,,,,,,,,,
,Total,"1,99,435",25,"87,345","63,625","28,355","11,930","4,295","3,860",0
,2-Jan,"53,840",5,"34,155","13,280","4,075","1,430",450,445,0
,5-Mar,"98,325",5,"38,655","33,135","15,970","6,340","2,390","1,830",0
,8-Jun,"38,995",15,"12,670","14,555","6,645","3,110","1,010",990,0
 ,      9+      ,"8,275",0,"1,865","2,655","1,665","1,050",445,595,0
Others ,,,,,,,,,,
,Total,"20,585",20,"6,590","6,875","3,715","1,710",715,960,0
,2-Jan,"4,300",0,"1,965","1,315",595,205,85,135,0
,5-Mar,"10,190",5,"3,050","3,350","2,010",945,370,460,0
,8-Jun,"5,030",10,"1,325","1,910",880,445,195,265,0
,      9+      ,"1,065",5,250,300,230,115,65,100,0
 BIHAR,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,41,08,710","3,475","47,44,515","46,58,670","21,62,970","11,33,270","5,95,535","8,02,660","7,615"
,2-Jan,"13,23,015",335,"7,69,335","3,75,390","1,00,450","38,245","15,900","20,160","3,200"
,5-Mar,"51,31,110","1,220","22,34,310","18,27,830","6,26,455","2,39,185","1,00,545","98,030","3,535"
,8-Jun,"47,74,065","1,065","13,53,045","17,40,600","8,57,180","4,18,455","1,97,255","2,05,900",565
 ,      9+      ,"28,80,520",855,"3,87,825","7,14,850","5,78,885","4,37,385","2,81,835","4,78,570",315
Owned ,,,,,,,,,,
,Total,"1,34,03,880","3,200","45,04,685","43,76,575","20,56,040","10,97,165","5,82,545","7,77,705","5,965"
,2-Jan,"11,80,600",275,"6,93,520","3,31,500","87,565","33,415","14,435","16,990","2,900"
,5-Mar,"48,47,695","1,110","21,39,155","17,11,835","5,82,560","2,25,425","95,575","89,815","2,220"
,8-Jun,"45,66,030","1,000","12,97,925","16,46,695","8,21,140","4,07,095","1,93,280","1,98,355",540
 ,      9+      ,"28,09,555",815,"3,74,085","6,86,545","5,64,775","4,31,230","2,79,255","4,72,545",305
Rented ,,,,,,,,,,
,Total,"5,91,045",265,"1,95,790","2,47,495","92,995","30,385","10,910","11,610","1,595"
,2-Jan,"1,17,575",50,"63,275","36,780","10,625","3,915","1,185","1,480",265
,5-Mar,"2,41,215",110,"77,975","1,02,980","38,985","11,710","4,290","3,860","1,305"
,8-Jun,"1,74,785",65,"44,145","82,930","31,300","9,645","3,350","3,330",20
 ,      9+      ,"57,470",40,"10,395","24,805","12,085","5,115","2,085","2,940",5
Others ,,,,,,,,,,
,Total,"1,13,785",10,"44,040","34,600","13,935","5,720","2,080","13,345",55
,2-Jan,"24,840",10,"12,540","7,110","2,260",915,280,"1,690",35
,5-Mar,"42,200",0,"17,180","13,015","4,910","2,050",680,"4,355",10
,8-Jun,"33,250",0,"10,975","10,975","4,740","1,715",625,"4,215",5
 ANDHRA PRADESH                                              ,      9+      ,"13,495",0,"3,345","3,500","2,025","1,040",495,"3,085",5
RURAL,,,,,,,,,,
