" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
 ORISSA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,3-5,"15,49,035",15,"7,46,160","5,10,355","1,98,455","64,515","18,160","9,575","1,800"
,6-8,"4,66,130",5,"1,95,490","1,64,565","71,095","24,160","6,365","3,915",535
 ,      9+      ,"62,975",0,"20,775","22,675","11,485","4,755","1,770","1,405",110
Others ,,,,,,,,,,
,Total,"2,04,080",15,"1,18,785","51,150","20,705","7,790","2,035","3,195",405
,1-2,"42,110",0,"28,660","8,265","2,980","1,085",365,675,80
,3-5,"1,18,370",15,"69,165","29,740","11,820","4,430","1,265","1,710",225
,6-8,"38,400",0,"19,030","11,380","5,005","1,905",350,650,80
 ANDHRA PRADESH                                              ,      9+      ,"5,200",0,"1,930","1,765",900,370,55,160,20
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"84,27,020",145,"48,76,100","24,25,400","6,92,825","2,64,370","85,620","65,980","16,580"
,1-2,"15,14,160",20,"10,37,580","3,59,995","75,510","24,525","7,735","5,905","2,890"
,3-5,"46,96,435",85,"27,52,260","13,65,145","3,68,120","1,30,675","41,255","30,115","8,780"
,6-8,"19,06,365",35,"9,63,765","6,01,735","2,03,455","84,030","27,855","21,215","4,275"
 ,      9+      ,"3,10,060",5,"1,22,495","98,525","45,740","25,140","8,775","8,745",635
Owned ,,,,,,,,,,
,Total,"76,36,140",120,"44,41,345","21,86,170","6,14,590","2,39,080","78,695","60,795","15,345"
,1-2,"13,35,420",10,"9,19,590","3,16,045","64,490","21,060","6,690","4,940","2,595"
,3-5,"42,17,610",70,"24,95,570","12,15,965","3,18,830","1,14,920","36,970","27,220","8,065"
,6-8,"17,86,190",35,"9,08,845","5,60,385","1,87,465","78,725","26,490","20,160","4,085"
 ,      9+      ,"2,96,920",5,"1,17,340","93,775","43,805","24,375","8,545","8,475",600
Rented ,,,,,,,,,,
,Total,"6,63,320",15,"3,54,015","2,08,325","68,455","22,070","6,065","3,480",895
,1-2,"1,48,305",10,"96,290","38,320","9,255","2,845",845,505,235
,3-5,"4,05,110",5,"2,10,305","1,30,750","43,740","13,945","3,780","2,070",515
,6-8,"99,260",0,"43,365","35,325","13,865","4,625","1,235",720,125
 ,      9+      ,"10,645",0,"4,055","3,930","1,595",655,205,185,20
Others ,,,,,,,,,,
,Total,"1,27,560",10,"80,740","30,905","9,780","3,220",860,"1,705",340
,1-2,"30,435",0,"21,700","5,630","1,765",620,200,460,60
,3-5,"73,715",10,"46,385","18,430","5,550","1,810",505,825,200
,6-8,"20,915",0,"11,555","6,025","2,125",680,130,335,65
 ANDHRA PRADESH                                              ,      9+      ,"2,495",0,"1,100",820,340,110,25,85,15
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"39,15,695",45,"16,66,830","12,50,695","5,74,755","2,54,720","89,880","74,755","4,015"
,1-2,"5,22,210",0,"2,97,670","1,44,975","47,885","19,275","6,565","5,140",700
,3-5,"22,63,105",25,"9,80,525","7,31,175","3,29,125","1,37,710","47,475","34,940","2,130"
,6-8,"9,43,145",20,"3,41,775","3,17,185","1,59,560","74,775","25,850","23,030",950
